roll_no,name,math,physics,chemistry,english,cs,economics
GRADSKEY01757,Student_1757,48,97,56,68,43,39
GRADSKEY01758,Student_1758,89,50,55,89,48,31
GRADSKEY01759,Student_1759,42,55,69,34,51,78
GRADSKEY01760,Student_1760,91,90,57,100,51,64
GRADSKEY01761,Student_1761,77,53,30,45,61,33
GRADSKEY01762,Student_1762,51,52,55,31,55,88
GRADSKEY01763,Student_1763,60,82,66,77,52,57
GRADSKEY01764,Student_1764,61,86,84,100,64,38
GRADSKEY01765,Student_1765,56,41,54,33,40,89
GRADSKEY01766,Student_1766,59,70,77,41,74,63
GRADSKEY01767,Student_1767,69,37,34,77,66,83
GRADSKEY01768,Student_1768,75,59,46,97,71,44
GRADSKEY01769,Student_1769,64,75,76,47,56,74
GRADSKEY01770,Student_1770,57,85,78,32,70,44
GRADSKEY01771,Student_1771,38,43,80,37,83,33
GRADSKEY01772,Student_1772,36,37,91,86,34,44
GRADSKEY01773,Student_1773,65,59,96,81,87,45
GRADSKEY01774,Student_1774,72,43,98,51,49,80
GRADSKEY01775,Student_1775,47,87,41,47,60,76
GRADSKEY01776,Student_1776,48,44,100,95,43,77
GRADSKEY01777,Student_1777,92,45,87,34,96,35
GRADSKEY01778,Student_1778,45,78,63,38,59,40
GRADSKEY01779,Student_1779,34,86,42,49,83,31
GRADSKEY01780,Student_1780,84,58,45,88,71,66
GRADSKEY01781,Student_1781,53,47,97,63,89,34
GRADSKEY01782,Student_1782,66,54,85,40,51,85
GRADSKEY01783,Student_1783,58,54,98,48,75,97
GRADSKEY01784,Student_1784,33,89,83,66,55,79
GRADSKEY01785,Student_1785,40,91,92,64,58,59
GRADSKEY01786,Student_1786,91,99,80,30,38,38
GRADSKEY01787,Student_1787,77,71,96,44,82,54
GRADSKEY01788,Student_1788,61,63,80,81,51,92
GRADSKEY01789,Student_1789,32,65,78,79,93,82
GRADSKEY01790,Student_1790,50,62,99,46,36,48
GRADSKEY01791,Student_1791,56,34,48,57,55,50
GRADSKEY01792,Student_1792,51,86,50,37,81,49
GRADSKEY01793,Student_1793,42,65,73,61,84,61
GRADSKEY01794,Student_1794,73,72,53,91,89,65
GRADSKEY01795,Student_1795,52,100,35,30,58,55
GRADSKEY01796,Student_1796,41,47,39,36,84,97
GRADSKEY01797,Student_1797,100,34,75,40,80,56
GRADSKEY01798,Student_1798,54,41,47,48,84,96
GRADSKEY01799,Student_1799,49,46,63,81,63,43
GRADSKEY01800,Student_1800,68,53,68,49,53,86
GRADSKEY01801,Student_1801,50,65,71,36,40,66
GRADSKEY01802,Student_1802,35,35,94,34,67,34
GRADSKEY01803,Student_1803,65,88,82,61,54,91
GRADSKEY01804,Student_1804,47,58,69,56,96,60
GRADSKEY01805,Student_1805,80,49,82,80,81,55
GRADSKEY01806,Student_1806,33,68,49,49,85,35
GRADSKEY01807,Student_1807,31,49,88,35,87,43
GRADSKEY01808,Student_1808,57,70,92,55,89,82
GRADSKEY01809,Student_1809,97,76,78,74,50,70
GRADSKEY01810,Student_1810,38,75,50,48,35,51
GRADSKEY01811,Student_1811,94,36,94,31,32,30
GRADSKEY01812,Student_1812,71,66,79,34,90,93
GRADSKEY01813,Student_1813,46,38,35,30,31,58
GRADSKEY01814,Student_1814,79,96,78,78,34,81
GRADSKEY01815,Student_1815,85,72,64,71,39,62
GRADSKEY01816,Student_1816,78,50,90,67,81,59
GRADSKEY01817,Student_1817,70,90,47,76,54,64
GRADSKEY01818,Student_1818,40,58,99,91,100,54
GRADSKEY01819,Student_1819,35,37,55,95,53,84
GRADSKEY01820,Student_1820,88,73,76,46,48,50
GRADSKEY01821,Student_1821,72,99,95,43,93,46
GRADSKEY01822,Student_1822,34,47,66,60,76,50
GRADSKEY01823,Student_1823,61,51,66,50,91,85
GRADSKEY01824,Student_1824,84,82,45,61,32,73
GRADSKEY01825,Student_1825,83,39,38,53,44,99
GRADSKEY01826,Student_1826,37,82,98,47,72,94
GRADSKEY01827,Student_1827,48,55,95,30,72,59
GRADSKEY01828,Student_1828,56,76,84,68,44,99
GRADSKEY01829,Student_1829,60,36,53,59,53,79
GRADSKEY01830,Student_1830,54,87,97,50,81,55
GRADSKEY01831,Student_1831,48,54,61,58,39,56
GRADSKEY01832,Student_1832,35,51,83,100,54,30
GRADSKEY01833,Student_1833,62,67,81,73,74,62
GRADSKEY01834,Student_1834,92,39,87,62,83,87
GRADSKEY01835,Student_1835,55,44,68,44,41,59
GRADSKEY01836,Student_1836,53,59,47,79,54,71
GRADSKEY01837,Student_1837,49,70,41,93,54,71
GRADSKEY01838,Student_1838,46,37,92,32,87,60
GRADSKEY01839,Student_1839,77,89,46,37,66,49
GRADSKEY01840,Student_1840,41,59,52,94,62,58
GRADSKEY01841,Student_1841,46,64,88,59,56,43
GRADSKEY01842,Student_1842,86,30,76,74,82,37
GRADSKEY01843,Student_1843,89,81,97,93,45,83
GRADSKEY01844,Student_1844,38,74,66,39,35,30
GRADSKEY01845,Student_1845,43,44,50,48,56,66
GRADSKEY01846,Student_1846,96,59,43,63,64,93
GRADSKEY01847,Student_1847,69,96,79,61,66,71
GRADSKEY01848,Student_1848,33,60,54,67,36,72
GRADSKEY01849,Student_1849,52,81,81,49,75,72
GRADSKEY01850,Student_1850,97,44,54,38,60,54
GRADSKEY01851,Student_1851,50,76,98,85,64,56
GRADSKEY01852,Student_1852,55,35,67,31,67,71
GRADSKEY01853,Student_1853,61,61,39,55,32,87
GRADSKEY01854,Student_1854,49,53,68,78,80,85
GRADSKEY01855,Student_1855,91,51,53,66,85,86
GRADSKEY01856,Student_1856,94,63,47,57,78,59
GRADSKEY01857,Student_1857,70,80,41,50,31,77
GRADSKEY01858,Student_1858,87,33,47,63,90,75
GRADSKEY01859,Student_1859,61,91,50,42,57,80
GRADSKEY01860,Student_1860,96,54,34,73,70,64
GRADSKEY01861,Student_1861,65,30,59,84,95,47
GRADSKEY01862,Student_1862,51,80,84,62,53,95
GRADSKEY01863,Student_1863,30,93,31,85,53,76
GRADSKEY01864,Student_1864,50,40,92,99,56,34
GRADSKEY01865,Student_1865,66,61,42,46,40,49
GRADSKEY01866,Student_1866,37,56,79,42,34,96
GRADSKEY01867,Student_1867,90,97,96,40,85,92
GRADSKEY01868,Student_1868,90,91,85,36,71,69
GRADSKEY01869,Student_1869,39,54,75,93,54,83
GRADSKEY01870,Student_1870,60,40,73,54,55,55
GRADSKEY01871,Student_1871,83,44,85,32,85,70
GRADSKEY01872,Student_1872,99,99,39,34,70,71
GRADSKEY01873,Student_1873,76,38,43,87,82,94
GRADSKEY01874,Student_1874,78,54,38,44,80,62
GRADSKEY01875,Student_1875,54,76,90,72,41,97
GRADSKEY01876,Student_1876,94,67,88,83,45,98
GRADSKEY01877,Student_1877,82,91,83,88,40,88
GRADSKEY01878,Student_1878,42,53,84,65,88,98
GRADSKEY01879,Student_1879,73,44,42,57,58,80
GRADSKEY01880,Student_1880,51,84,65,80,34,80
GRADSKEY01881,Student_1881,96,98,96,45,78,73
GRADSKEY01882,Student_1882,62,50,64,31,98,36
GRADSKEY01883,Student_1883,100,98,33,69,51,65
GRADSKEY01884,Student_1884,64,72,92,33,79,41
GRADSKEY01885,Student_1885,94,65,68,87,49,78
GRADSKEY01886,Student_1886,37,30,72,81,87,36
GRADSKEY01887,Student_1887,47,91,65,65,89,60
GRADSKEY01888,Student_1888,56,89,70,97,85,56
GRADSKEY01889,Student_1889,89,76,65,89,62,61
GRADSKEY01890,Student_1890,63,43,75,98,100,95
GRADSKEY01891,Student_1891,31,55,40,82,78,89
GRADSKEY01892,Student_1892,93,96,81,32,35,63
GRADSKEY01893,Student_1893,43,30,33,96,74,54
GRADSKEY01894,Student_1894,50,60,58,83,49,90
GRADSKEY01895,Student_1895,97,42,96,68,68,30
GRADSKEY01896,Student_1896,67,60,58,42,51,76
GRADSKEY01897,Student_1897,78,93,97,99,93,58
GRADSKEY01898,Student_1898,97,82,76,84,45,99
GRADSKEY01899,Student_1899,97,73,63,31,93,94
GRADSKEY01900,Student_1900,86,84,44,36,72,94
GRADSKEY01901,Student_1901,53,48,92,76,53,43
GRADSKEY01902,Student_1902,83,71,63,92,77,99
GRADSKEY01903,Student_1903,99,44,91,72,39,34
GRADSKEY01904,Student_1904,68,95,47,83,45,65
GRADSKEY01905,Student_1905,62,49,80,69,98,85
GRADSKEY01906,Student_1906,72,30,94,38,43,95
GRADSKEY01907,Student_1907,100,88,60,95,84,65
GRADSKEY01908,Student_1908,81,59,67,50,42,82
GRADSKEY01909,Student_1909,98,67,65,53,59,76
GRADSKEY01910,Student_1910,60,75,88,66,62,97
GRADSKEY01911,Student_1911,91,72,95,56,73,44
GRADSKEY01912,Student_1912,57,66,87,48,54,100
GRADSKEY01913,Student_1913,89,80,86,48,84,90
GRADSKEY01914,Student_1914,82,43,57,84,68,98
GRADSKEY01915,Student_1915,89,86,88,93,45,82
GRADSKEY01916,Student_1916,87,78,77,96,55,47
GRADSKEY01917,Student_1917,63,77,63,95,49,75
GRADSKEY01918,Student_1918,100,43,82,52,31,94
GRADSKEY01919,Student_1919,69,84,70,41,61,66
GRADSKEY01920,Student_1920,48,44,48,76,56,78
GRADSKEY01921,Student_1921,59,84,97,53,47,98
GRADSKEY01922,Student_1922,84,32,94,64,52,89
GRADSKEY01923,Student_1923,96,31,55,93,84,33
GRADSKEY01924,Student_1924,90,89,70,51,93,64
GRADSKEY01925,Student_1925,100,82,33,32,58,93
GRADSKEY01926,Student_1926,65,36,93,63,46,84
GRADSKEY01927,Student_1927,97,59,84,78,91,75
GRADSKEY01928,Student_1928,85,85,32,39,40,88
GRADSKEY01929,Student_1929,63,99,61,47,73,78
GRADSKEY01930,Student_1930,82,61,81,75,97,58
GRADSKEY01931,Student_1931,39,89,30,74,81,100
GRADSKEY01932,Student_1932,89,37,37,52,47,97
GRADSKEY01933,Student_1933,56,56,57,69,31,49
GRADSKEY01934,Student_1934,38,78,30,91,62,51
GRADSKEY01935,Student_1935,68,100,42,93,75,43
GRADSKEY01936,Student_1936,54,75,92,55,77,65
GRADSKEY01937,Student_1937,100,31,45,36,43,50
GRADSKEY01938,Student_1938,45,100,34,99,36,36
GRADSKEY01939,Student_1939,41,30,70,50,85,59
GRADSKEY01940,Student_1940,50,82,84,33,45,84
GRADSKEY01941,Student_1941,49,50,83,44,97,41
GRADSKEY01942,Student_1942,70,40,41,66,37,99
GRADSKEY01943,Student_1943,74,65,65,70,35,43
GRADSKEY01944,Student_1944,42,86,89,40,69,35
GRADSKEY01945,Student_1945,31,38,73,85,92,50
GRADSKEY01946,Student_1946,70,91,99,91,64,38
GRADSKEY01947,Student_1947,43,47,71,62,54,78
GRADSKEY01948,Student_1948,97,30,81,65,56,91
GRADSKEY01949,Student_1949,71,32,64,91,56,95
GRADSKEY01950,Student_1950,40,77,100,92,39,40
GRADSKEY01951,Student_1951,37,49,74,51,56,41
GRADSKEY01952,Student_1952,87,88,49,100,88,67
GRADSKEY01953,Student_1953,91,48,64,31,53,78
GRADSKEY01954,Student_1954,33,80,77,43,47,75
GRADSKEY01955,Student_1955,87,60,45,48,39,31
GRADSKEY01956,Student_1956,94,56,43,58,73,89
GRADSKEY01957,Student_1957,92,54,74,83,45,91
GRADSKEY01958,Student_1958,94,78,33,60,100,62
GRADSKEY01959,Student_1959,46,42,65,99,54,58
GRADSKEY01960,Student_1960,76,97,80,84,45,62
GRADSKEY01961,Student_1961,36,89,83,33,90,81
GRADSKEY01962,Student_1962,60,96,33,50,52,62
GRADSKEY01963,Student_1963,66,56,48,63,73,91
GRADSKEY01964,Student_1964,98,38,67,78,62,61
GRADSKEY01965,Student_1965,73,73,63,83,59,90
GRADSKEY01966,Student_1966,94,78,65,77,53,67
GRADSKEY01967,Student_1967,33,37,96,86,82,87
GRADSKEY01968,Student_1968,51,35,32,62,76,45
GRADSKEY01969,Student_1969,84,63,58,93,45,95
GRADSKEY01970,Student_1970,59,45,98,50,57,64
GRADSKEY01971,Student_1971,57,99,81,56,63,77
GRADSKEY01972,Student_1972,53,36,97,87,46,77
GRADSKEY01973,Student_1973,53,71,73,89,48,57
GRADSKEY01974,Student_1974,45,52,84,35,43,98
GRADSKEY01975,Student_1975,57,100,61,49,93,78
GRADSKEY01976,Student_1976,51,93,65,83,68,42
GRADSKEY01977,Student_1977,84,32,50,63,40,41
GRADSKEY01978,Student_1978,73,81,38,42,72,80
GRADSKEY01979,Student_1979,44,84,94,45,96,54
GRADSKEY01980,Student_1980,81,82,93,72,46,83
GRADSKEY01981,Student_1981,64,85,32,71,88,48
GRADSKEY01982,Student_1982,97,49,97,69,81,56
GRADSKEY01983,Student_1983,97,37,71,34,50,74
GRADSKEY01984,Student_1984,99,63,58,78,62,43
GRADSKEY01985,Student_1985,38,69,86,62,37,95
GRADSKEY01986,Student_1986,90,80,76,79,79,87
GRADSKEY01987,Student_1987,54,93,95,75,42,69
GRADSKEY01988,Student_1988,74,89,32,69,52,74
GRADSKEY01989,Student_1989,72,48,34,38,95,84
GRADSKEY01990,Student_1990,92,33,70,98,66,45
GRADSKEY01991,Student_1991,39,32,62,35,73,75
GRADSKEY01992,Student_1992,61,40,79,97,76,93
GRADSKEY01993,Student_1993,58,59,52,39,46,59
GRADSKEY01994,Student_1994,52,34,60,75,71,47
GRADSKEY01995,Student_1995,39,71,93,68,81,48
GRADSKEY01996,Student_1996,87,89,77,54,51,89
GRADSKEY01997,Student_1997,74,54,55,78,43,42
GRADSKEY01998,Student_1998,30,78,62,41,35,40
GRADSKEY01999,Student_1999,89,38,77,72,73,78
GRADSKEY02000,Student_2000,58,36,35,63,62,48
GRADSKEY02001,Student_2001,88,56,92,61,98,84
GRADSKEY02002,Student_2002,44,81,74,56,45,62
GRADSKEY02003,Student_2003,63,92,83,46,58,96
GRADSKEY02004,Student_2004,41,100,45,78,85,78
GRADSKEY02005,Student_2005,75,62,99,55,83,46
GRADSKEY02006,Student_2006,69,92,89,66,100,62
GRADSKEY02007,Student_2007,51,96,61,61,68,66
GRADSKEY02008,Student_2008,64,82,33,37,90,34
GRADSKEY02009,Student_2009,49,45,52,94,79,48
GRADSKEY02010,Student_2010,52,40,97,80,50,67
GRADSKEY02011,Student_2011,35,83,39,43,30,53
GRADSKEY02012,Student_2012,49,49,47,76,33,64
GRADSKEY02013,Student_2013,72,91,37,51,76,89
GRADSKEY02014,Student_2014,73,47,79,32,48,67
GRADSKEY02015,Student_2015,52,34,87,42,77,46
GRADSKEY02016,Student_2016,58,93,86,55,80,70
GRADSKEY02017,Student_2017,67,62,51,86,96,71
GRADSKEY02018,Student_2018,42,84,79,39,32,66
GRADSKEY02019,Student_2019,35,68,61,59,46,71
GRADSKEY02020,Student_2020,65,99,99,53,60,50
GRADSKEY02021,Student_2021,76,87,64,64,73,65
GRADSKEY02022,Student_2022,51,78,57,71,31,90
GRADSKEY02023,Student_2023,82,52,43,61,58,35
GRADSKEY02024,Student_2024,33,43,48,50,67,83
GRADSKEY02025,Student_2025,32,55,83,34,38,77
GRADSKEY02026,Student_2026,34,96,46,65,37,93
GRADSKEY02027,Student_2027,41,43,98,71,32,89
GRADSKEY02028,Student_2028,41,97,86,39,60,36
GRADSKEY02029,Student_2029,33,30,54,57,46,46
GRADSKEY02030,Student_2030,94,62,49,32,45,97
GRADSKEY02031,Student_2031,32,77,66,61,86,50
GRADSKEY02032,Student_2032,88,98,39,83,87,74
GRADSKEY02033,Student_2033,78,91,97,80,78,73
GRADSKEY02034,Student_2034,39,45,65,100,68,83
GRADSKEY02035,Student_2035,60,37,44,50,79,44
GRADSKEY02036,Student_2036,79,88,54,38,38,84
GRADSKEY02037,Student_2037,52,51,47,69,35,98
GRADSKEY02038,Student_2038,80,45,75,61,52,52
GRADSKEY02039,Student_2039,44,66,97,44,77,96
GRADSKEY02040,Student_2040,38,34,44,97,34,58
GRADSKEY02041,Student_2041,40,49,67,74,69,64
GRADSKEY02042,Student_2042,41,39,72,85,38,37
GRADSKEY02043,Student_2043,59,86,98,34,50,100
GRADSKEY02044,Student_2044,72,36,60,32,40,84
GRADSKEY02045,Student_2045,52,93,93,63,80,61
GRADSKEY02046,Student_2046,44,81,68,31,64,88
GRADSKEY02047,Student_2047,41,95,44,46,38,38
GRADSKEY02048,Student_2048,75,43,55,100,93,93
GRADSKEY02049,Student_2049,35,93,99,70,36,91
GRADSKEY02050,Student_2050,97,43,97,60,71,73
GRADSKEY02051,Student_2051,54,54,36,57,69,42
GRADSKEY02052,Student_2052,58,71,38,59,75,40
GRADSKEY02053,Student_2053,47,65,58,92,39,83
GRADSKEY02054,Student_2054,39,41,47,51,85,50
GRADSKEY02055,Student_2055,32,95,70,93,83,87
GRADSKEY02056,Student_2056,51,73,84,46,93,56
GRADSKEY02057,Student_2057,44,62,81,43,65,53
GRADSKEY02058,Student_2058,68,33,52,89,54,34
GRADSKEY02059,Student_2059,70,93,37,65,76,32
GRADSKEY02060,Student_2060,88,55,85,51,32,79
GRADSKEY02061,Student_2061,82,57,38,79,68,82
GRADSKEY02062,Student_2062,60,45,95,95,95,47
GRADSKEY02063,Student_2063,62,83,100,39,77,69
GRADSKEY02064,Student_2064,92,52,37,48,55,73
GRADSKEY02065,Student_2065,65,91,77,76,62,86
GRADSKEY02066,Student_2066,55,74,35,74,67,88
GRADSKEY02067,Student_2067,39,95,46,44,49,58
GRADSKEY02068,Student_2068,75,78,40,40,47,66
GRADSKEY02069,Student_2069,81,59,40,32,68,31
GRADSKEY02070,Student_2070,60,64,84,50,98,87
GRADSKEY02071,Student_2071,96,60,42,87,99,49
GRADSKEY02072,Student_2072,91,98,51,85,52,93
GRADSKEY02073,Student_2073,48,80,55,63,82,33
GRADSKEY02074,Student_2074,99,75,85,45,62,49
GRADSKEY02075,Student_2075,87,87,93,38,63,67
GRADSKEY02076,Student_2076,73,44,32,53,31,51
GRADSKEY02077,Student_2077,56,79,41,31,41,86
GRADSKEY02078,Student_2078,40,100,79,45,41,50
GRADSKEY02079,Student_2079,68,96,50,76,67,59
GRADSKEY02080,Student_2080,71,39,72,36,88,77
GRADSKEY02081,Student_2081,45,33,61,95,77,80
GRADSKEY02082,Student_2082,83,100,63,69,56,58
GRADSKEY02083,Student_2083,36,54,56,44,42,84
GRADSKEY02084,Student_2084,70,91,87,90,52,70
GRADSKEY02085,Student_2085,48,68,49,37,92,97
GRADSKEY02086,Student_2086,78,44,33,77,41,48
GRADSKEY02087,Student_2087,35,74,36,86,40,81
GRADSKEY02088,Student_2088,98,73,66,32,65,31
GRADSKEY02089,Student_2089,58,61,44,93,51,85
GRADSKEY02090,Student_2090,64,92,90,44,62,74
GRADSKEY02091,Student_2091,43,71,60,78,60,37
GRADSKEY02092,Student_2092,71,33,72,50,48,46
GRADSKEY02093,Student_2093,85,84,56,58,74,68
GRADSKEY02094,Student_2094,65,58,56,43,83,40
GRADSKEY02095,Student_2095,89,98,39,52,55,76
GRADSKEY02096,Student_2096,68,65,79,99,91,52
GRADSKEY02097,Student_2097,44,32,33,54,50,69
GRADSKEY02098,Student_2098,70,69,40,59,57,71
GRADSKEY02099,Student_2099,91,31,74,75,94,88
GRADSKEY02100,Student_2100,63,30,38,92,74,72
GRADSKEY02101,Student_2101,84,73,93,72,80,96
GRADSKEY02102,Student_2102,83,87,73,91,48,77
GRADSKEY02103,Student_2103,93,91,65,99,90,62
GRADSKEY02104,Student_2104,88,94,81,61,79,98
GRADSKEY02105,Student_2105,88,84,97,68,86,62
GRADSKEY02106,Student_2106,59,100,48,53,43,47
GRADSKEY02107,Student_2107,40,71,92,55,42,79
GRADSKEY02108,Student_2108,59,83,76,88,48,48
GRADSKEY02109,Student_2109,64,87,99,57,91,98
GRADSKEY02110,Student_2110,74,88,49,99,63,31
GRADSKEY02111,Student_2111,75,40,38,99,47,66
GRADSKEY02112,Student_2112,37,52,87,90,43,50
GRADSKEY02113,Student_2113,79,56,46,73,38,48
GRADSKEY02114,Student_2114,49,56,50,92,49,94
GRADSKEY02115,Student_2115,34,48,39,65,59,61
GRADSKEY02116,Student_2116,37,74,54,82,87,58
GRADSKEY02117,Student_2117,65,70,99,61,30,76
GRADSKEY02118,Student_2118,85,58,87,70,91,96
GRADSKEY02119,Student_2119,38,78,35,49,70,67
GRADSKEY02120,Student_2120,45,31,43,63,94,89
GRADSKEY02121,Student_2121,70,39,54,72,83,48
GRADSKEY02122,Student_2122,67,72,94,63,70,82
GRADSKEY02123,Student_2123,79,69,85,94,89,60
GRADSKEY02124,Student_2124,53,45,73,76,65,32
GRADSKEY02125,Student_2125,59,78,91,34,41,62
GRADSKEY02126,Student_2126,63,96,72,49,95,78
GRADSKEY02127,Student_2127,46,89,38,95,40,79
GRADSKEY02128,Student_2128,30,85,58,90,92,88
GRADSKEY02129,Student_2129,93,89,74,49,47,59
GRADSKEY02130,Student_2130,62,57,46,77,51,85
GRADSKEY02131,Student_2131,31,58,79,89,30,57
GRADSKEY02132,Student_2132,46,47,62,78,91,94
GRADSKEY02133,Student_2133,84,75,51,60,88,54
GRADSKEY02134,Student_2134,58,76,46,81,98,63
GRADSKEY02135,Student_2135,95,78,98,62,39,87
GRADSKEY02136,Student_2136,90,36,33,48,71,47
GRADSKEY02137,Student_2137,51,80,78,87,63,30
GRADSKEY02138,Student_2138,94,70,32,37,37,97
GRADSKEY02139,Student_2139,61,80,51,87,36,74
GRADSKEY02140,Student_2140,53,86,84,57,100,73
GRADSKEY02141,Student_2141,88,66,47,94,32,70
GRADSKEY02142,Student_2142,59,41,47,39,55,91
GRADSKEY02143,Student_2143,62,92,93,73,91,42
GRADSKEY02144,Student_2144,73,54,76,88,47,69
GRADSKEY02145,Student_2145,82,88,36,50,43,84
GRADSKEY02146,Student_2146,99,80,55,78,81,94
GRADSKEY02147,Student_2147,86,90,98,49,96,99
GRADSKEY02148,Student_2148,94,79,34,78,98,37
GRADSKEY02149,Student_2149,86,86,86,45,65,65
GRADSKEY02150,Student_2150,86,70,36,87,45,93
GRADSKEY02151,Student_2151,88,80,73,90,37,42
GRADSKEY02152,Student_2152,65,36,54,70,50,93
GRADSKEY02153,Student_2153,100,47,32,30,73,74
GRADSKEY02154,Student_2154,60,43,89,49,81,57
GRADSKEY02155,Student_2155,83,96,88,90,32,45
GRADSKEY02156,Student_2156,84,43,88,54,35,63
GRADSKEY02157,Student_2157,97,99,56,39,92,91
GRADSKEY02158,Student_2158,98,34,70,50,51,81
GRADSKEY02159,Student_2159,92,60,97,86,39,74
GRADSKEY02160,Student_2160,61,90,77,77,71,55
GRADSKEY02161,Student_2161,55,54,34,52,39,38
GRADSKEY02162,Student_2162,31,30,40,31,95,90
GRADSKEY02163,Student_2163,69,31,82,74,54,57
GRADSKEY02164,Student_2164,94,95,54,65,97,58
GRADSKEY02165,Student_2165,45,74,49,91,51,98
GRADSKEY02166,Student_2166,31,55,100,68,76,66
GRADSKEY02167,Student_2167,95,92,33,50,57,71
GRADSKEY02168,Student_2168,64,64,88,76,81,98
GRADSKEY02169,Student_2169,90,44,65,93,61,95
GRADSKEY02170,Student_2170,81,56,81,63,41,83
GRADSKEY02171,Student_2171,65,79,32,56,77,65
GRADSKEY02172,Student_2172,43,34,30,31,57,92
GRADSKEY02173,Student_2173,53,87,44,53,31,52
GRADSKEY02174,Student_2174,39,80,81,57,32,95
GRADSKEY02175,Student_2175,42,93,93,94,84,63
GRADSKEY02176,Student_2176,59,65,50,41,82,50
GRADSKEY02177,Student_2177,94,45,97,61,69,80
GRADSKEY02178,Student_2178,78,63,50,33,95,38
GRADSKEY02179,Student_2179,54,47,86,75,47,51
GRADSKEY02180,Student_2180,86,50,77,32,72,59
GRADSKEY02181,Student_2181,69,73,63,70,35,71
GRADSKEY02182,Student_2182,87,56,44,70,51,87
GRADSKEY02183,Student_2183,43,67,65,92,41,95
GRADSKEY02184,Student_2184,40,49,79,36,30,60
GRADSKEY02185,Student_2185,56,52,94,71,71,43
GRADSKEY02186,Student_2186,84,58,47,46,93,68
GRADSKEY02187,Student_2187,32,99,48,59,32,49
GRADSKEY02188,Student_2188,36,79,55,48,97,98
GRADSKEY02189,Student_2189,83,36,77,63,62,53
GRADSKEY02190,Student_2190,54,82,73,92,65,92
GRADSKEY02191,Student_2191,69,98,53,47,47,34
GRADSKEY02192,Student_2192,77,52,77,98,75,61
GRADSKEY02193,Student_2193,46,35,63,74,51,73
GRADSKEY02194,Student_2194,73,46,46,46,38,67
GRADSKEY02195,Student_2195,49,99,79,58,35,72
GRADSKEY02196,Student_2196,30,44,35,56,82,52
GRADSKEY02197,Student_2197,61,60,43,34,58,37
GRADSKEY02198,Student_2198,56,99,99,84,97,62
GRADSKEY02199,Student_2199,75,30,37,32,67,75
GRADSKEY02200,Student_2200,58,69,38,38,52,34
GRADSKEY02201,Student_2201,53,88,63,89,89,55
GRADSKEY02202,Student_2202,97,76,56,63,36,97
GRADSKEY02203,Student_2203,45,59,44,89,31,41
GRADSKEY02204,Student_2204,91,45,78,59,40,44
GRADSKEY02205,Student_2205,96,83,98,45,32,35
GRADSKEY02206,Student_2206,50,90,91,65,81,59
GRADSKEY02207,Student_2207,41,61,86,91,34,62
GRADSKEY02208,Student_2208,74,43,85,97,44,40
GRADSKEY02209,Student_2209,60,30,46,92,76,55
GRADSKEY02210,Student_2210,43,68,76,77,46,87
GRADSKEY02211,Student_2211,79,100,87,51,75,39
GRADSKEY02212,Student_2212,89,67,45,72,90,45
GRADSKEY02213,Student_2213,74,80,41,41,53,36
GRADSKEY02214,Student_2214,65,69,31,99,89,62
GRADSKEY02215,Student_2215,41,53,75,31,34,95
GRADSKEY02216,Student_2216,79,54,51,42,67,41
GRADSKEY02217,Student_2217,64,66,51,78,89,99
GRADSKEY02218,Student_2218,57,77,76,73,80,55
GRADSKEY02219,Student_2219,48,71,40,68,33,72
GRADSKEY02220,Student_2220,92,44,67,98,57,50
GRADSKEY02221,Student_2221,32,59,46,66,47,91
GRADSKEY02222,Student_2222,76,32,39,52,95,61
GRADSKEY02223,Student_2223,91,90,76,72,67,37
GRADSKEY02224,Student_2224,80,77,92,58,89,46
GRADSKEY02225,Student_2225,45,95,84,97,31,68
GRADSKEY02226,Student_2226,89,67,84,38,68,37
GRADSKEY02227,Student_2227,48,43,65,53,52,46
GRADSKEY02228,Student_2228,79,78,32,48,88,84
GRADSKEY02229,Student_2229,85,76,33,65,93,38
GRADSKEY02230,Student_2230,47,41,38,94,96,36
GRADSKEY02231,Student_2231,90,38,71,62,39,73
GRADSKEY02232,Student_2232,96,86,61,73,58,82
GRADSKEY02233,Student_2233,40,89,74,60,97,55
GRADSKEY02234,Student_2234,75,43,65,99,44,90
GRADSKEY02235,Student_2235,44,50,37,63,73,100
GRADSKEY02236,Student_2236,54,67,34,66,80,63
GRADSKEY02237,Student_2237,61,79,54,32,72,70
GRADSKEY02238,Student_2238,89,84,84,64,56,37
GRADSKEY02239,Student_2239,60,47,39,96,45,62
GRADSKEY02240,Student_2240,48,73,77,42,67,86
GRADSKEY02241,Student_2241,84,73,57,56,81,43
GRADSKEY02242,Student_2242,90,66,31,81,59,94
GRADSKEY02243,Student_2243,99,48,81,35,31,62
GRADSKEY02244,Student_2244,88,34,90,93,77,69
GRADSKEY02245,Student_2245,52,56,39,60,43,67
GRADSKEY02246,Student_2246,94,68,38,43,79,36
GRADSKEY02247,Student_2247,50,94,44,45,32,32
GRADSKEY02248,Student_2248,41,84,65,50,90,84
GRADSKEY02249,Student_2249,79,30,80,70,84,68
GRADSKEY02250,Student_2250,60,31,79,60,87,36
GRADSKEY02251,Student_2251,72,43,45,45,32,58
GRADSKEY02252,Student_2252,31,68,78,89,52,83
GRADSKEY02253,Student_2253,74,70,60,69,76,41
GRADSKEY02254,Student_2254,84,77,97,93,83,31
GRADSKEY02255,Student_2255,93,72,99,35,83,50
